Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Bahamas, The",BHS,,,,,,,13.9623369,14.72157478,15.39008612,16.76530945,17.79672695,18.61804089,19.88980413,20.9801143,23.7226025,26.18017753,27.2943631,28.16501954,29.8856404,32.6026615,36.54687842,40.60888067,43.05053877,44.77256032,46.54839504,48.69195312,51.33776748,54.29300759,56.68320937,59.73710697,62.52642313,66.9749788,70.81813627,72.74644165,73.76440752,75.2891141,76.32745444,76.74279057,77.76854497,78.74395559,80.00884292,81.64501557,83.41963361,85.94311528,86.78700279,88.16831009,90.27537954,92.52556374,96.6795544,98.67379715,100,103.1987814,105.2352727,105.9955079,107.6000217,109.6029778,109.2233384,110.8815748,113.3939999,116.2189112,116.26368,119.6410383,126.3474046
Bahrain,BHR,,,,,,17.96565475,18.34912657,19.1304504,19.75359211,19.71524493,20.03640258,21.19640483,22.27491932,25.46732222,31.6795657,36.79891449,45.0771124,53.06978969,61.4471413,62.80266029,65.23282496,72.63322594,79.08720601,81.43799344,81.70054893,79.54694754,77.72047547,76.36425181,76.59596842,77.73410586,78.45651645,79.05625355,78.91994966,80.92361678,81.58469062,83.79076901,83.41184421,85.44004602,85.12687932,84.03079586,83.43850231,82.43092249,82.02244418,83.32957477,85.29027064,87.4960535,89.25251023,92.15916698,95.40870212,98.07586463,100,99.5999593,102.3463253,105.7237659,108.5228588,110.5290422,113.6092583,115.1846987,117.5893744,118.7721119,116.0193231,115.3158755,119.4969305
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,24.28000283,26.67757932,28.65512584,30.38746567,32.24922014,34.29942049,35.54588781,36.61753185,38.56329232,42.53446758,43.54556676,45.85592081,49.70884439,52.74441235,53.90914412,54.9911943,56.82381156,60.04498736,64.60092262,69.15310297,73.83149099,80.55531378,87.72630342,92.48411524,100,111.3951652,118.3211643,127.2312288,136.1267769,144.5588509,152.5291403,161.2264589,170.1642434,179.6798217,189.9055347,200.4370392,215.8645866
Barbados,BRB,,,,,,,6.13836209,6.361483889,6.83787908,7.236885179,7.764035554,8.34395122,9.334933622,10.90834432,15.15419134,18.22965397,19.13872454,20.73726157,22.70364805,25.69368116,29.40141288,33.68448229,37.16492012,39.10875648,40.94131354,42.54420906,43.11007616,44.53776596,46.70179329,49.59268757,51.11745081,54.3161389,57.62610631,58.26773804,58.31272329,59.40833936,60.82591277,65.51591837,64.68459565,65.69371571,67.2938918,69.02861723,69.1150752,70.23434767,71.21371109,75.54506238,81.06564067,84.33601492,91.17407019,94.49632739,100,109.4322024,114.3931445,116.4683555,118.5292668,117.210285,118.7128367,124.245074,128.8096071,134.0911741,,,155.6488283
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000144698,0.00186693,0.04333175,0.350703796,0.53556705,0.877994517,1.517786637,5.975203472,16.05060566,25.8631327,36.86467522,47.33344667,55.90470198,61.68462172,66.0007743,71.56249635,82.18085117,92.81970174,100,153.2286983,243.970329,288.6468125,340.9483285,387.0939452,432.9126326,459.0252181,481.3903139,508.3392944,536.5426883,587.3011498,676.6277476
Belgium,BEL,15.59608125,15.75089984,15.97213809,16.31522016,16.99536263,17.68625834,18.42454425,18.92759007,19.43890942,20.16864458,20.95693049,21.8672217,23.05864225,24.66243541,27.78911128,31.3372802,34.17913586,36.60448755,38.24092532,39.94994438,42.60609165,45.85586557,49.85750018,53.67738732,57.0814864,59.86063213,60.63544911,61.57734964,62.2922226,64.22767351,66.4424442,68.57877521,70.24383747,72.1786523,73.89472924,74.97947947,76.53681906,77.78296131,78.5213163,79.40142109,81.42180435,83.43231895,84.80495945,86.15247972,87.95934113,90.40587095,92.02522788,93.70289959,97.90963899,97.85760425,100,103.5320821,106.4720448,107.6571808,108.0232183,108.6296921,110.7738822,113.1289026,115.4516256,117.1104572,117.9780019,120.8569583,132.456219
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,43.50568555,48.38897678,51.69831465,54.28121249,56.11749142,59.61763259,60.09443742,61.30347824,63.2277263,64.57299708,66.54833138,67.05539739,68.66251458,69.67363668,71.46379142,73.52882046,77.91483002,78.81010069,80.54018927,82.65146597,85.18674982,88.29727402,92.04131385,94.17490766,100.1968572,99.09037279,92.04131385,94.17490766,100.1968572,99.09037279,100,101.6020562,102.9234729,103.448123,104.6909484,103.788948,104.477512,105.6765517,105.9618601,106.1600823,106.2889974,109.7281231,116.6156402
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.90351109,39.07491965,54.13082465,61.95952126,65.00436067,67.25760416,71.12714571,71.35953438,74.33194758,77.29355201,79.21751401,80.39567051,81.09824091,85.44877295,88.68059676,89.83173133,96.9709274,97.83985707,100,102.7042391,109.631314,110.1015105,109.4973201,109.7368848,108.8655189,110.791799,111.5061885,110.7200402,114.0667983,116.0441915,117.6116916
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,10.86,11.943,13.119,15.488,16.578,16.89,18.573,19.749,21.743,23.652,26.02,29.214,33.881,37.675,40.316,44.141,48.021,51.145,56.559,60.392,62.815,64.96,66.555,68.267,71.07,74.84568688,78.58831131,82.64041218,89.52201194,93.42617627,100,108.8489857,120.7349215,131.3310812,142.193555,148.6607225,153.4474296,161.0508782,165.4378459,169.9483936,179.5154093,192.7040733,203.5709773
